State,Latitude,Longitude,City,Places
AL,32.6010112,-86.6807365,Alabama,Visited
AK,61.3025006,-158.7750198,Alaska,Not Visited
AZ,34.1682185,-111.930907,Arizona,Not Visited
AR,34.7519275,-92.1313784,Arkansas,Not Visited
CA,37.2718745,-119.2704153,California,Visited
CO,38.9979339,-105.550567,Colorado,Visited
CT,41.5187835,-72.757507,Connecticut,Not Visited
DE,39.145251,-75.4189206,Delaware,Visited
DC,38.8993487,-77.0145666,District of Columbia,Visited
FL,27.9757279,-83.8330166,Florida,Not Visited
GA,32.6781248,-83.2229757,Georgia,Not Visited
HI,20.46,-157.505,Hawaii,Not Visited
ID,45.4945756,-114.1424303,Idaho,Visited
IL,39.739318,-89.504139,Illinois,Visited
IN,39.7662195,-86.441277,Indiana,Not Visited
IA,41.9383166,-93.389798,Iowa,Visited
KS,38.4987789,-98.3200779,Kansas,Not Visited
KY,37.8222935,-85.7682399,Kentucky,Visited
LA,30.9733766,-91.4299097,Louisiana,Visited
ME,45.2185133,-69.0148656,Maine,Not Visited
MD,38.8063524,-77.2684162,Maryland,Not Visited
MA,42.0629398,-71.718067,Massachusetts,Visited
MI,44.9435598,-86.4158049,Michigan,Not Visited
MN,46.4418595,-93.3655146,Minnesota,Not Visited
MS,32.5851062,-89.8772196,Mississippi,Visited
MO,38.3046615,-92.437099,Missouri,Visited
MT,46.6797995,-110.044783,Montana,Not Visited
NE,41.5008195,-99.680902,Nebraska,Visited
NV,38.502032,-117.0230604,Nevada,Not Visited
NH,44.0012306,-71.5799231,New Hampshire,Not Visited
NJ,40.1430058,-74.7311156,New Jersey,Visited
NM,34.1662325,-106.0260685,New Mexico,Not Visited
NY,40.7056258,-73.97968,New York,Not Visited
NC,35.2145629,-79.8912675,North Carolina,Visited
ND,47.4678819,-100.3022655,North Dakota,Not Visited
OH,40.1903624,-82.6692525,Ohio,Visited
OK,35.3097654,-98.7165585,Oklahoma,Visited
OR,44.1419049,-120.5380993,Oregon,Not Visited
PA,40.9945928,-77.6046984,Pennsylvania,Not Visited
RI,41.5827282,-71.5064508,Rhode Island,Visited
SC,33.62505,-80.9470381,South Carolina,Not Visited
SD,44.2126995,-100.2471641,South Dakota,Not Visited
TN,35.830521,-85.9785989,Tennessee,Visited
TX,31.1693363,-100.0768425,Texas,Visited
UT,39.4997605,-111.547028,Utah,Visited
VT,43.8717545,-72.4477828,Vermont,Not Visited
VA,38.0033855,-79.4587861,Virginia,Visited
WA,38.8993487,-77.0145665,Washington,Not Visited
WV,38.9201705,-80.1816905,West Virginia,Visited
WI,44.7862968,-89.8267049,Wisconsin,Not Visited
WY,43.000325,-107.5545669,Wyoming,Visited
